OrderID,OrderDate,Region,State,Category,SubCategory,SalesRep,CustomerID,Quantity,UnitPrice,Sales,Profit
ORD-01540,2022-01-01,West,Goa,Clothing,Womenswear,Neha Kapoor,CUST-01460,5,2880.12,14400.6,4592.29
ORD-01990,2022-01-02,Central,Madhya Pradesh,Furniture,Chairs,Isha Deshpande,CUST-00357,9,6290.73,56616.57,12417.71
ORD-01267,2022-01-02,Central,Chhattisgarh,Electronics,Laptops,Ananya Rao,CUST-00254,7,25790.79,180535.53,32813.81
ORD-01478,2022-01-03,East,West Bengal,Furniture,Tables,Vikram Nair,CUST-01101,2,5201.54,10403.08,2703.01
ORD-00567,2022-01-03,East,Odisha,Clothing,Footwear,Arjun Bhatt,CUST-00637,5,2440.96,12204.8,4227.52
ORD-00892,2022-01-03,North,Delhi,Electronics,Laptops,Divya Menon,CUST-01358,7,12888.28,90217.96,16451.92
ORD-01436,2022-01-03,North,Uttar Pradesh,Clothing,Footwear,Karan Malhotra,CUST-01840,5,543.15,2715.75,975.45
ORD-01216,2022-01-04,West,Maharashtra,Furniture,Tables,Priya Mehta,CUST-01744,4,16950.56,67802.24,13316.56
ORD-02832,2022-01-05,West,Maharashtra,Clothing,Menswear,Isha Deshpande,CUST-01526,3,797.47,2392.41,1093.69
ORD-02162,2022-01-05,West,Gujarat,Electronics,Laptops,Ananya Rao,CUST-01197,4,8303.41,33213.64,5502.73
ORD-00082,2022-01-05,East,Odisha,Furniture,Tables,Ananya Rao,CUST-01321,5,14137.25,70686.25,13977.58
ORD-01234,2022-01-06,Central,Madhya Pradesh,Electronics,Laptops,Isha Deshpande,CUST-00651,1,25572.0,25572.0,4729.42
ORD-02142,2022-01-06,Central,Madhya Pradesh,Clothing,Footwear,Sneha Kulkarni,CUST-00598,7,3893.51,27254.57,9372.99
ORD-02913,2022-01-06,East,West Bengal,Clothing,Kidswear,Isha Deshpande,CUST-01615,3,2807.62,8422.86,3723.72
ORD-00520,2022-01-07,Central,Madhya Pradesh,Clothing,Footwear,Siddharth Joshi,CUST-01922,10,3797.16,37971.6,15332.78
ORD-01355,2022-01-08,South,Kerala,Electronics,Tablets,Siddharth Joshi,CUST-01037,7,8243.84,57706.88,1158.16
ORD-02874,2022-01-08,West,Gujarat,Office Supplies,Binders,Neha Kapoor,CUST-02010,10,1008.19,10081.9,3036.65
ORD-01803,2022-01-08,North,Delhi,Clothing,Womenswear,Vikram Nair,CUST-00730,8,1206.12,9648.96,2875.98
ORD-00088,2022-01-08,South,Tamil Nadu,Clothing,Menswear,Aarav Shah,CUST-01575,3,3157.21,9471.63,3153.97
ORD-02773,2022-01-08,East,West Bengal,Office Supplies,Paper,Vikram Nair,CUST-00213,6,933.46,5600.76,1342.73
ORD-01786,2022-01-08,South,Andhra Pradesh,Clothing,Kidswear,Priya Mehta,CUST-01156,2,2493.91,4987.82,1591.2
ORD-02294,2022-01-09,Central,Chhattisgarh,Furniture,Storage,Divya Menon,CUST-02095,9,11037.09,99333.81,28627.64
ORD-02078,2022-01-09,South,Kerala,Office Supplies,Pens & Stationery,Siddharth Joshi,CUST-01658,3,2018.07,6054.21,1829.01
ORD-01501,2022-01-09,North,Haryana,Clothing,Kidswear,Siddharth Joshi,CUST-01332,9,3225.76,29031.84,9578.12
ORD-02447,2022-01-09,South,Karnataka,Office Supplies,Binders,Vikram Nair,CUST-00794,10,491.98,4919.8,1391.76
ORD-02921,2022-01-10,South,Andhra Pradesh,Electronics,Smartphones,Neha Kapoor,CUST-01614,10,32950.05,329500.5,50997.61
ORD-01450,2022-01-10,North,Uttar Pradesh,Clothing,Menswear,Sneha Kulkarni,CUST-01535,3,748.0,2244.0,818.89
ORD-00086,2022-01-11,South,Andhra Pradesh,Electronics,Accessories,Divya Menon,CUST-01416,1,31819.19,31819.19,4259.51
ORD-00687,2022-01-11,North,Uttar Pradesh,Electronics,Laptops,Neha Kapoor,CUST-00189,11,21398.15,235379.65,56273.16
ORD-00956,2022-01-11,North,Delhi,Office Supplies,Binders,Vikram Nair,CUST-00412,9,213.44,1920.96,636.07
ORD-02723,2022-01-11,West,Maharashtra,Electronics,Accessories,Arjun Bhatt,CUST-01872,7,15325.82,107280.74,14582.9
ORD-01243,2022-01-12,North,Haryana,Furniture,Chairs,Vikram Nair,CUST-00205,9,17930.7,161376.3,26311.95
ORD-02307,2022-01-12,Central,Chhattisgarh,Electronics,Smartphones,Aarav Shah,CUST-01801,3,35215.47,105646.41,22131.76
ORD-00132,2022-01-12,North,Uttar Pradesh,Office Supplies,Printers,Priya Mehta,CUST-00766,7,1349.7,9447.9,2842.62
ORD-02517,2022-01-13,North,Delhi,Clothing,Womenswear,Rohan Iyer,CUST-00765,8,3113.77,24910.16,7401.88
ORD-02266,2022-01-13,East,Jharkhand,Office Supplies,Pens & Stationery,Priya Mehta,CUST-01376,7,677.76,4744.32,909.1
ORD-00974,2022-01-13,Central,Madhya Pradesh,Furniture,Storage,Isha Deshpande,CUST-01407,4,6127.24,24508.96,5632.81
ORD-00418,2022-01-13,South,Kerala,Furniture,Storage,Rohan Iyer,CUST-00637,7,18223.11,127561.77,15416.73
ORD-01193,2022-01-13,West,Maharashtra,Furniture,Storage,Divya Menon,CUST-00645,11,10744.85,118193.35,28796.29
ORD-00622,2022-01-13,West,Maharashtra,Furniture,Chairs,Priya Mehta,CUST-01082,2,18974.17,37948.34,7877.32
ORD-02796,2022-01-13,South,Andhra Pradesh,Electronics,Smartphones,Arjun Bhatt,CUST-01366,9,21479.94,193319.46,30568.98
ORD-01427,2022-01-13,North,Haryana,Electronics,Smartphones,Isha Deshpande,CUST-00796,3,29366.5,88099.5,15637.19
ORD-01759,2022-01-14,West,Rajasthan,Clothing,Footwear,Aarav Shah,CUST-01883,2,3524.6,7049.2,2083.44
ORD-00511,2022-01-14,South,Andhra Pradesh,Office Supplies,Pens & Stationery,Divya Menon,CUST-00506,5,2452.66,12263.3,2939.73
ORD-00056,2022-01-14,North,Uttar Pradesh,Furniture,Sofas,Divya Menon,CUST-00508,2,4588.08,9176.16,1676.22
ORD-01838,2022-01-14,South,Kerala,Office Supplies,Pens & Stationery,Divya Menon,CUST-00530,5,192.24,961.2,355.6
ORD-01434,2022-01-14,Central,Madhya Pradesh,Office Supplies,Printers,Vikram Nair,CUST-00466,8,2468.01,19744.08,4049.45
ORD-01732,2022-01-15,West,Maharashtra,Office Supplies,Pens & Stationery,Vikram Nair,CUST-01147,10,2761.55,27615.5,9206.93
ORD-00266,2022-01-15,North,Punjab,Furniture,Tables,Divya Menon,CUST-00362,5,6280.7,31403.5,5816.38
ORD-01677,2022-01-15,South,Tamil Nadu,Clothing,Footwear,Vikram Nair,CUST-01779,10,2466.16,24661.6,8033.1
ORD-02157,2022-01-15,West,Gujarat,Electronics,Accessories,Isha Deshpande,CUST-01486,9,42537.15,382834.35,65793.61
ORD-01159,2022-01-16,North,Punjab,Office Supplies,Binders,Vikram Nair,CUST-01754,5,1465.29,7326.45,1906.76
ORD-01201,2022-01-16,East,Bihar,Office Supplies,Binders,Priya Mehta,CUST-00473,10,2283.82,22838.2,5858.46
ORD-01218,2022-01-16,Central,Madhya Pradesh,Electronics,Accessories,Sneha Kulkarni,CUST-00566,4,38139.7,152558.8,17782.49
ORD-02026,2022-01-16,West,Maharashtra,Furniture,Sofas,Priya Mehta,CUST-01154,10,19625.99,196259.9,33627.96
ORD-02115,2022-01-16,South,Tamil Nadu,Furniture,Storage,Karan Malhotra,CUST-00564,6,18457.91,110747.46,21071.07
ORD-01229,2022-01-16,South,Tamil Nadu,Office Supplies,Printers,Aarav Shah,CUST-01085,9,2263.05,20367.45,5512.45
ORD-01005,2022-01-16,Central,Chhattisgarh,Furniture,Storage,Sneha Kulkarni,CUST-00596,3,5321.99,15965.97,1520.35
ORD-00584,2022-01-16,Central,Madhya Pradesh,Furniture,Chairs,Isha Deshpande,CUST-00540,1,15632.54,15632.54,2396.06
ORD-00775,2022-01-16,South,Karnataka,Clothing,Menswear,Ananya Rao,CUST-00436,10,1884.07,18840.7,7204.45
ORD-02639,2022-01-17,North,Delhi,Clothing,Womenswear,Isha Deshpande,CUST-02079,1,511.74,511.74,106.24
ORD-02441,2022-01-17,North,Uttar Pradesh,Electronics,Laptops,Divya Menon,CUST-01914,11,40961.5,450576.5,67133.67
ORD-00500,2022-01-20,South,Tamil Nadu,Clothing,Footwear,Ananya Rao,CUST-01161,7,3229.59,22607.13,8318.63
ORD-00361,2022-01-20,North,Haryana,Office Supplies,Binders,Neha Kapoor,CUST-00621,1,2517.38,2517.38,397.97
ORD-00603,2022-01-21,West,Gujarat,Electronics,Accessories,Siddharth Joshi,CUST-00638,10,9229.89,92298.9,7548.12
ORD-02902,2022-01-21,South,Tamil Nadu,Office Supplies,Binders,Arjun Bhatt,CUST-00778,6,2507.86,15047.16,4214.86
ORD-01419,2022-01-21,West,Rajasthan,Furniture,Storage,Arjun Bhatt,CUST-00466,11,4183.49,46018.39,12353.44
ORD-01783,2022-01-21,Central,Chhattisgarh,Clothing,Menswear,Neha Kapoor,CUST-00449,10,2795.94,27959.4,12728.31
ORD-02931,2022-01-22,East,Odisha,Office Supplies,Pens & Stationery,Sneha Kulkarni,CUST-00484,6,1265.39,7592.34,1921.87
ORD-02449,2022-01-23,East,West Bengal,Clothing,Kidswear,Karan Malhotra,CUST-00597,5,724.66,3623.3,1669.83
ORD-02326,2022-01-23,West,Goa,Electronics,Accessories,Rohan Iyer,CUST-00592,10,26858.16,268581.6,63583.67
ORD-02180,2022-01-23,North,Uttar Pradesh,Electronics,Accessories,Priya Mehta,CUST-00163,1,33816.68,33816.68,7642.47
ORD-02865,2022-01-23,Central,Chhattisgarh,Clothing,Menswear,Priya Mehta,CUST-01697,10,1630.62,16306.2,4677.49
ORD-01875,2022-01-23,Central,Madhya Pradesh,Office Supplies,Printers,Sneha Kulkarni,CUST-00776,2,2536.4,5072.8,1074.06
ORD-02437,2022-01-24,East,West Bengal,Clothing,Menswear,Priya Mehta,CUST-01690,7,501.38,3509.66,1050.4
ORD-00144,2022-01-24,Central,Chhattisgarh,Electronics,Accessories,Priya Mehta,CUST-00466,10,37066.76,370667.6,49767.22
ORD-00626,2022-01-25,Central,Chhattisgarh,Electronics,Tablets,Arjun Bhatt,CUST-01012,7,42889.15,300224.05,46452.54
ORD-01166,2022-01-25,Central,Chhattisgarh,Electronics,Accessories,Isha Deshpande,CUST-01692,7,10699.44,74896.08,5487.59
ORD-01105,2022-01-25,North,Haryana,Clothing,Womenswear,Siddharth Joshi,CUST-01632,11,4498.78,49486.58,16199.89
ORD-01939,2022-01-25,East,Odisha,Office Supplies,Binders,Divya Menon,CUST-01465,10,2466.77,24667.7,6671.5
ORD-00354,2022-01-26,Central,Chhattisgarh,Office Supplies,Paper,Isha Deshpande,CUST-00679,2,1486.99,2973.98,486.47
ORD-02050,2022-01-26,West,Maharashtra,Electronics,Smartphones,Isha Deshpande,CUST-00540,2,41804.68,83609.36,14005.66
ORD-00737,2022-01-26,East,Jharkhand,Furniture,Sofas,Neha Kapoor,CUST-01269,6,11909.36,71456.16,11092.69
ORD-00077,2022-01-26,East,West Bengal,Furniture,Chairs,Isha Deshpande,CUST-00665,11,7704.83,84753.13,15988.67
ORD-00194,2022-01-26,Central,Chhattisgarh,Electronics,Accessories,Sneha Kulkarni,CUST-01940,8,15921.24,127369.92,13189.85
ORD-00232,2022-01-27,Central,Chhattisgarh,Furniture,Tables,Aarav Shah,CUST-01949,7,7850.54,54953.78,12612.93
ORD-01323,2022-01-27,East,Odisha,Clothing,Womenswear,Divya Menon,CUST-01801,9,1123.73,10113.57,2610.47
ORD-02302,2022-01-27,North,Uttar Pradesh,Furniture,Sofas,Priya Mehta,CUST-00296,7,2538.04,17766.28,2595.13
ORD-00535,2022-01-27,Central,Chhattisgarh,Clothing,Womenswear,Arjun Bhatt,CUST-00938,10,4111.64,41116.4,12079.75
ORD-02451,2022-01-27,Central,Madhya Pradesh,Electronics,Laptops,Divya Menon,CUST-01411,11,15730.07,173030.77,22404.35
ORD-00293,2022-01-27,North,Haryana,Office Supplies,Printers,Aarav Shah,CUST-02080,3,979.77,2939.31,821.7
ORD-02332,2022-01-27,Central,Madhya Pradesh,Electronics,Laptops,Priya Mehta,CUST-01197,9,29074.12,261667.08,66857.96
ORD-00368,2022-01-28,West,Maharashtra,Furniture,Tables,Priya Mehta,CUST-00259,8,9092.2,72737.6,21728.14
ORD-01925,2022-01-28,Central,Madhya Pradesh,Clothing,Menswear,Karan Malhotra,CUST-01954,2,2915.29,5830.58,1682.83
ORD-02065,2022-01-28,East,West Bengal,Clothing,Kidswear,Ananya Rao,CUST-00781,8,1666.49,13331.92,5412.85
ORD-01393,2022-01-29,North,Uttar Pradesh,Furniture,Tables,Arjun Bhatt,CUST-01796,9,17092.92,153836.28,49458.21
ORD-01756,2022-01-29,East,Odisha,Electronics,Smartphones,Sneha Kulkarni,CUST-01235,11,11142.55,122568.05,10304.56
ORD-01214,2022-01-30,Central,Chhattisgarh,Electronics,Smartphones,Sneha Kulkarni,CUST-01203,3,28126.88,84380.64,16248.29
ORD-02925,2022-01-30,South,Tamil Nadu,Electronics,Accessories,Sneha Kulkarni,CUST-00972,6,39160.48,234962.88,52408.1
ORD-02697,2022-01-31,South,Kerala,Electronics,Laptops,Isha Deshpande,CUST-01915,7,32940.51,230583.57,25159.95
ORD-01204,2022-01-31,West,Rajasthan,Electronics,Laptops,Vikram Nair,CUST-00217,1,38611.1,38611.1,6549.03
ORD-02994,2022-01-31,West,Maharashtra,Furniture,Sofas,Arjun Bhatt,CUST-01052,10,14136.19,141361.9,37595.03
ORD-02387,2022-02-01,East,Jharkhand,Clothing,Womenswear,Aarav Shah,CUST-01788,10,850.94,8509.4,3071.84
ORD-01658,2022-02-01,Central,Madhya Pradesh,Furniture,Storage,Ananya Rao,CUST-00160,11,15037.0,165407.0,25137.04
ORD-00090,2022-02-01,West,Maharashtra,Clothing,Menswear,Aarav Shah,CUST-02028,10,2869.94,28699.4,10736.55
ORD-02712,2022-02-01,West,Maharashtra,Furniture,Tables,Arjun Bhatt,CUST-01066,3,14379.95,43139.85,9948.39
